Date/Time,Electricity:Facility [J](TimeStep),ElectricityNet:Facility [J](TimeStep),Gas:Facility [J](TimeStep) 
 07/24  09:00:00,6839013.196651738,6839013.196651739,0.0 
 07/24  09:10:00,6889438.788856465,6889438.788856465,0.0 
 07/24  09:20:00,6937621.754973262,6937621.754973261,0.0 
 07/24  09:30:00,6985619.600533839,6985619.60053384,0.0 
 07/24  09:40:00,7011406.697990455,7011406.697990455,0.0 
 07/24  09:50:00,7032504.050194842,7032504.050194841,0.0 
 07/24  10:00:00,7051938.636750976,7051938.636750975,0.0 
 07/24  10:10:00,7078914.954279182,7078914.954279182,0.0 
 07/24  10:20:00,7102825.100914778,7102825.100914777,0.0 
 07/24  10:30:00,7129684.224137359,7129684.224137357,0.0 
 07/24  10:40:00,7167847.154163039,7167847.154163038,0.0 
 07/24  10:50:00,7208265.606653748,7208265.606653749,0.0 
 07/24  11:00:00,7248126.056083353,7248126.056083353,0.0 
 07/24  11:10:00,6869777.151953211,6869777.151953209,0.0 
 07/24  11:20:00,6858823.920493066,6858823.920493064,0.0 
 07/24  11:30:00,6852934.831717142,6852934.831717141,0.0 
 07/24  11:40:00,6838965.448164101,6838965.448164101,0.0 
 07/24  11:50:00,6827974.937833977,6827974.937833976,0.0 
 07/24  12:00:00,6818376.573474739,6818376.573474739,0.0 
 07/24  12:10:00,7227987.368932602,7227987.3689326,0.0 
 07/24  12:20:00,7263610.714059477,7263610.714059477,0.0 
 07/24  12:30:00,7300322.569298443,7300322.569298443,0.0 
 07/24  12:40:00,7336973.369129197,7336973.369129195,0.0 
 07/24  12:50:00,7374458.159325992,7374458.159325993,0.0 
 07/24  13:00:00,7413291.805369063,7413291.805369062,0.0 
 07/24  13:10:00,7429259.996169188,7429259.996169186,0.0 
 07/24  13:20:00,7446598.161500191,7446598.161500191,0.0 
 07/24  13:30:00,7462855.405538135,7462855.405538134,0.0 
 07/24  13:40:00,7480912.945578621,7480912.94557862,0.0 
 07/24  13:50:00,7505927.62387517,7505927.623875169,0.0 
 07/24  14:00:00,7530210.951353828,7530210.951353828,0.0 
 07/24  14:10:00,7553781.713755199,7553781.713755199,0.0 
 07/24  14:20:00,7577400.796481184,7577400.796481183,0.0 
 07/24  14:30:00,7601724.703557019,7601724.703557019,0.0 
 07/24  14:40:00,7620671.376465352,7620671.376465351,0.0 
 07/24  14:50:00,7643692.754157574,7643692.754157576,0.0 
 07/24  15:00:00,7667950.027261957,7667950.027261956,0.0 
 07/24  15:10:00,7678325.180208673,7678325.180208673,0.0 
 07/24  15:20:00,7686990.346878052,7686990.346878052,0.0 
 07/24  15:30:00,7694040.324655537,7694040.324655537,0.0 
 07/24  15:40:00,7693455.63666265,7693455.636662651,0.0 
 07/24  15:50:00,7687196.807963475,7687196.807963476,0.0 
 07/24  16:00:00,7678344.48391209,7678344.483912088,0.0 
 07/24  16:10:00,5816609.620196374,5816609.620196373,0.0 
 07/24  16:20:00,5788991.4634353,5788991.4634353,0.0 
 07/24  16:30:00,5767383.091175597,5767383.091175598,0.0 
 07/24  16:40:00,5762852.657889459,5762852.657889459,0.0 
 07/24  16:50:00,5758190.366876514,5758190.366876514,0.0 
 07/24  17:00:00,5753843.861022,5753843.861022,0.0 
 07/24  17:10:00,2698395.808864201,2698395.8088642007,0.0 
 07/24  17:20:00,2696189.7409926739,2696189.740992673,0.0 
 07/24  17:30:00,2695383.299010823,2695383.299010823,0.0 
 07/24  17:40:00,2717680.794192934,2717680.7941929337,0.0 
 07/24  17:50:00,2746075.666563461,2746075.666563461,0.0 
 07/24  18:00:00,2795657.4763248746,2795657.476324874,0.0 
 07/24  18:10:00,1528860.598797651,1528860.598797651,0.0 
 07/24  18:20:00,1532034.4352019556,1532034.4352019553,0.0 
 07/24  18:30:00,1535360.737908319,1535360.737908319,0.0 
